player1,player2
76561197965369141,76561197970961357
76561197965743283,76561197970961357
76561197965864423,76561197970961357
76561197965916096,76561197970961357
76561197966039541,76561197970961357
76561197966065842,76561197970961357
76561197966084289,76561197970961357
76561197966661964,76561197970961357
76561197967025203,76561197970961357
76561197967062016,76561197970961357
76561197967255914,76561197970961357
76561197967539154,76561197970961357
76561197967652039,76561197970961357
76561197967653490,76561197970961357
76561197968152886,76561197970961357
76561197968266548,76561197970961357
76561197968350879,76561197970961357
76561197968459473,76561197970961357
76561197968467409,76561197970961357
76561197968570218,76561197970961357
76561197969121021,76561197970961357
76561197969155684,76561197970961357
76561197969355086,76561197970961357
76561197969393927,76561197970961357
76561197969612525,76561197970961357
76561197970202048,76561197970961357
76561197970362060,76561197970961357
76561197970557331,76561197970961357
76561197970565175,76561197970961357
76561197970627949,76561197970961357
76561197970776071,76561197970961357
76561197970776137,76561197970961357
76561197970961357,76561197971122856
76561197970961357,76561197971147003
76561197970961357,76561197971155734
76561197970961357,76561197971306134
76561197970961357,76561197971485348
76561197970961357,76561197971583616
76561197970961357,76561197971617815
76561197970961357,76561197971777277
76561197970961357,76561197971779669
76561197970961357,76561197971881175
76561197970961357,76561197972051441
76561197970961357,76561197972302473
76561197970961357,76561197972418663
76561197970961357,76561197972438621
76561197970961357,76561197972472976
76561197970961357,76561197972702571
76561197970961357,76561197972892924
76561197970961357,76561197972970824
76561197970961357,76561197973059497
76561197970961357,76561197973108859
76561197970961357,76561197973321596
76561197970961357,76561197973663806
76561197970961357,76561197973827071
76561197970961357,76561197973839319
76561197970961357,76561197974731473
76561197970961357,76561197974820782
76561197970961357,76561197974885958
76561197970961357,76561197975091785
76561197970961357,76561197975168964
76561197970961357,76561197975364907
76561197970961357,76561197975586307
76561197970961357,76561197975664861
76561197970961357,76561197975701019
76561197970961357,76561197977326912
76561197970961357,76561197978063921
76561197970961357,76561197978112186
76561197970961357,76561197978136978
76561197970961357,76561197978165703
76561197970961357,76561197978455020
76561197970961357,76561197978607315
76561197970961357,76561197978621846
76561197970961357,76561197978727662
76561197970961357,76561197978859149
76561197970961357,76561197979133010
76561197970961357,76561197979690100
76561197970961357,76561197979767947
76561197970961357,76561197980085333
76561197970961357,76561197980238112
76561197970961357,76561197980258575
76561197970961357,76561197980493320
76561197970961357,76561197980761807
76561197970961357,76561197980823956
76561197970961357,76561197980938687
76561197970961357,76561197981093665
76561197970961357,76561197981214942
76561197970961357,76561197981291930
76561197970961357,76561197981580640
76561197970961357,76561197981702609
76561197970961357,76561197981971078
76561197970961357,76561197982002714
76561197970961357,76561197982066262
76561197970961357,76561197982107576
76561197970961357,76561197982401321
76561197970961357,76561197983232637
76561197970961357,76561197983302033
76561197970961357,76561197983340435
76561197970961357,76561197983893106
76561197970961357,76561197984628103
76561197970961357,76561197984806212
76561197970961357,76561197985330552
76561197970961357,76561197985405423
76561197970961357,76561197985454791
76561197970961357,76561197985607672
76561197970961357,76561197987090062
76561197970961357,76561197987153459
76561197970961357,76561197987169770
76561197970961357,76561197987300375
76561197970961357,76561197987905554
76561197970961357,76561197988042654
76561197970961357,76561197988191126
76561197970961357,76561197988221501
76561197970961357,76561197988317180
76561197970961357,76561197988493672
76561197970961357,76561197988741929
76561197970961357,76561197989427836
76561197970961357,76561197989691509
76561197970961357,76561197989800035
76561197970961357,76561197990043345
76561197970961357,76561197990126347
76561197970961357,76561197990504106
76561197970961357,76561197990979092
76561197970961357,76561197991002516
76561197970961357,76561197991477951
76561197970961357,76561197992752799
76561197970961357,76561197992825256
76561197970961357,76561197992838768
76561197970961357,76561197993321712
76561197970961357,76561197993855526
76561197970961357,76561197993883441
76561197970961357,76561197994308495
76561197970961357,76561197994632741
76561197970961357,76561197995062119
76561197970961357,76561197995373063
76561197970961357,76561197996050605
76561197970961357,76561197997169633
76561197970961357,76561197998275464
76561197970961357,76561197998812764
76561197970961357,76561197998919165
76561197970961357,76561197999029041
76561197970961357,76561197999629462
76561197970961357,76561198000928595
76561197970961357,76561198001073607
76561197970961357,76561198002059905
76561197970961357,76561198003432133
76561197970961357,76561198004296213
76561197970961357,76561198004387265
76561197970961357,76561198005113240
76561197970961357,76561198005121830
76561197970961357,76561198007217964
76561197970961357,76561198007622651
76561197970961357,76561198007622817
76561197970961357,76561198007695232
76561197970961357,76561198007958692
76561197970961357,76561198008764330
76561197970961357,76561198008809599
76561197970961357,76561198008900700
76561197970961357,76561198009430041
76561197970961357,76561198010261750
76561197970961357,76561198012000993
76561197970961357,76561198012902321
76561197970961357,76561198014674983
76561197970961357,76561198018658865
76561197970961357,76561198020514973
76561197970961357,76561198021222775
76561197970961357,76561198027887084
76561197970961357,76561198031821884
76561197970961357,76561198033118861
76561197970961357,76561198035489611
76561197970961357,76561198037019019
76561197970961357,76561198039190971
76561197970961357,76561198041054038
76561197970961357,76561198041672228
76561197970961357,76561198041942772
76561197970961357,76561198042868931
76561197970961357,76561198042957550
76561197970961357,76561198043826625
76561197970961357,76561198048029513
76561197970961357,76561198049429715
76561197970961357,76561198052555299
76561197970961357,76561198053398526
76561197970961357,76561198056856778
76561197970961357,76561198074554356
76561197970961357,76561198088732596
76561197970961357,76561198091442356
76561197970961357,76561198160905037
76561197970961357,76561198165811345
76561197970961357,76561198199180179
76561197970961357,76561198326758491
76561197970961357,76561199030997774
76561197960265744,76561198053398526
76561197960265767,76561198053398526
76561197960265916,76561198053398526
76561197960276281,76561198053398526
76561197960335309,76561198053398526
76561197960357189,76561198053398526
76561197960376021,76561198053398526
76561197960381818,76561198053398526
76561197960434622,76561198053398526
76561197960481868,76561198053398526
76561197960568847,76561198053398526
76561197960794555,76561198053398526
76561197960951084,76561198053398526
76561197961133645,76561198053398526
76561197961298542,76561198053398526
76561197961408648,76561198053398526
76561197961418200,76561198053398526
76561197961532882,76561198053398526
76561197961786669,76561198053398526
76561197961963491,76561198053398526
76561197961997807,76561198053398526
76561197962146232,76561198053398526
76561197963135603,76561198053398526
76561197963259080,76561198053398526
76561197963535400,76561198053398526
76561197963728455,76561198053398526
76561197963799013,76561198053398526
76561197964093969,76561198053398526
76561197965215862,76561198053398526
76561197966773982,76561198053398526
76561197967653490,76561198053398526
76561197968127507,76561198053398526
76561197968459473,76561198053398526
76561197968570218,76561198053398526
76561197968575517,76561198053398526
76561197968583700,76561198053398526
76561197969214127,76561198053398526
76561197969650641,76561198053398526
76561197969773250,76561198053398526
76561197969815248,76561198053398526
76561197969918174,76561198053398526
76561197970202048,76561198053398526
76561197970218004,76561198053398526
76561197970323416,76561198053398526
76561197970367346,76561198053398526
76561197970369149,76561198053398526
76561197970484475,76561198053398526
76561197970563925,76561198053398526
76561197970565175,76561198053398526
76561197970732484,76561198053398526
76561197970815211,76561198053398526
76561197971064604,76561198053398526
76561197971155734,76561198053398526
76561197971374952,76561198053398526
76561197971896767,76561198053398526
76561197972051441,76561198053398526
76561197972069292,76561198053398526
76561197972439467,76561198053398526
76561197972892924,76561198053398526
76561197973008083,76561198053398526
76561197973108859,76561198053398526
76561197973382444,76561198053398526
76561197973924367,76561198053398526
76561197974679102,76561198053398526
76561197974820782,76561198053398526
76561197975471797,76561198053398526
76561197975662546,76561198053398526
76561197975664861,76561198053398526
76561197975895977,76561198053398526
76561197976149841,76561198053398526
76561197976307169,76561198053398526
76561197976744344,76561198053398526
76561197977068643,76561198053398526
76561197977294971,76561198053398526
76561197977977512,76561198053398526
76561197978136978,76561198053398526
76561197978266558,76561198053398526
76561197978414830,76561198053398526
76561197978607315,76561198053398526
76561197978621846,76561198053398526
76561197978837955,76561198053398526
76561197978965827,76561198053398526
76561197979573240,76561198053398526
76561197979686376,76561198053398526
76561197979735059,76561198053398526
76561197980258575,76561198053398526
76561197980437027,76561198053398526
76561197980890882,76561198053398526
76561197980902153,76561198053398526
