id,type,bipartite_set,label,game_name,is_target,degree
76561199037769837,player,0,Player_769837,,False,197
76561198020233776,player,0,Player_233776,,False,371
76561199208519382,player,0,Player_519382,,False,182
76561198112539961,player,0,Player_539961,,False,256
76561198159874979,player,0,Player_874979,,False,70
76561198155135215,player,0,Player_135215,,False,214
76561198042877576,player,0,Player_877576,,False,105
76561198278274684,player,0,Player_274684,,False,110
76561198102456355,player,0,Player_456355,,False,184
76561198167399093,player,0,Player_399093,,False,196
76561199504389163,player,0,Player_389163,,False,98
76561199439953577,player,0,Player_953577,,False,73
76561198201107905,player,0,Player_107905,,False,218
76561198114718582,player,0,Player_718582,,False,306
76561198102226026,player,0,Player_226026,,False,64
76561198157192609,player,0,Player_192609,,False,136
76561198124570092,player,0,Player_570092,,False,51
76561198076772943,player,0,Player_772943,,False,94
76561198021415360,player,0,Player_415360,,False,815
76561198305450206,player,0,Player_450206,,False,94
76561198029094936,player,0,Player_094936,,False,427
76561198103309377,player,0,Player_309377,,False,198
76561198973402800,player,0,Player_402800,,False,216
76561198141166844,player,0,Player_166844,,False,506
76561198124841640,player,0,Player_841640,,False,94
76561198066372754,player,0,Player_372754,,False,53
76561198169404985,player,0,Player_404985,,False,249
76561198153166933,player,0,Player_166933,,False,447
76561198144580223,player,0,Player_580223,,False,239
76561198184488543,player,0,Player_488543,,False,273
76561198356836034,player,0,Player_836034,,False,144
76561198197586753,player,0,Player_586753,,False,152
76561198179607925,player,0,Player_607925,,False,212
76561198170433074,player,0,Player_433074,,False,130
76561198324824191,player,0,Player_824191,,False,198
76561198077865868,player,0,Player_865868,,False,113
76561198120837027,player,0,Player_837027,,False,41
76561198035205570,player,0,Player_205570,,False,922
76561198157098297,player,0,Player_098297,,False,144
76561198086902926,player,0,Player_902926,,False,426
76561198388466519,player,0,Player_466519,,False,176
76561199872933965,player,0,Player_933965,,False,18
76561198122190157,player,0,Player_190157,,False,121
76561198094564626,player,0,Player_564626,,False,194
76561198138487898,player,0,Player_487898,,False,325
76561198141269007,player,0,Player_269007,,False,206
76561198254012127,player,0,Player_012127,,False,431
76561198052241041,player,0,Player_241041,,False,387
76561198120542078,player,0,Player_542078,,False,286
